Step,2024-08-28 22-04-25,2024-08-28 22-37-02
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,0.340000003576279
182,0.860000014305115,0
183,0,0.819999992847443
184,0.819999992847443,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,0.72000002861023
198,0.879999995231628,0.759999990463257
199,0.159999996423721,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,0.540000021457672
213,1,0
214,0.5,0.879999995231628
215,0.46000000834465,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,1,0.400000005960465
229,1,0.5799999833107
230,1,1
231,0.519999980926514,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,1,0.779999971389771
244,1,0
245,1,0.479999989271164
246,0.219999998807907,1
247,0.140000000596046,1
248,0.879999995231628,1
249,1,1
250,1,1
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,0.5
260,1,0
261,1,0.779999971389771
262,0.439999997615814,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,1,1
272,1,1
273,1,1
274,1,0.72000002861023
275,1,0
276,0.839999973773956,0
277,0,0.959999978542328
278,0,1
279,0.920000016689301,1
280,1,1
281,1,1
282,1,1
283,1,1
284,1,1
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,0.519999980926514
291,1,0
292,0.600000023841858,0.259999990463257
293,0,1
294,0.300000011920929,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,0.340000003576279
307,1,0
308,0.319999992847443,0.280000001192093
309,0,1
310,0.860000014305115,1
311,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,1,1
321,1,0.800000011920929
322,1,0
323,1,0
324,0.119999997317791,0.740000009536743
325,0,1
326,0.860000014305115,1
327,1,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,1,0.200000002980232
339,1,0.0799999982118607
340,0.180000007152557,1
341,0,1
342,0.699999988079071,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,1,0.5
355,0.200000002980232,1
356,0,1
357,0.72000002861023,1
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,0.0799999982118607
370,0.560000002384186,0
371,0,0.779999971389771
372,0,1
373,0.939999997615814,1
374,1,1
375,1,1
376,1,1
377,1,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,1,1
385,1,0.0599999986588955
386,1,0
387,0.639999985694885,0.759999990463257
388,0.680000007152557,1
389,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,0.660000026226044
401,1,0
402,1,0.0599999986588955
403,0.0399999991059303,1
404,0.819999992847443,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,0.800000011920929
417,1,0
418,0.180000007152557,0.5799999833107
419,0,1
420,0.779999971389771,1
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,1,0.740000009536743
433,1,0
434,0.100000001490116,0.959999978542328
435,0.200000002980232,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,0.839999973773956
448,1,0
449,0.779999971389771,0
450,0,0.899999976158142
451,0.0799999982118607,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,0.839999973773956
464,1,0
465,1,0.899999976158142
466,0.0799999982118607,1
467,0.540000021457672,1
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,0.800000011920929
480,1,0
481,0.219999998807907,0.860000014305115
482,0.759999990463257,1
483,1,1
484,1,1
485,1,1
486,1,1
487,1,1
488,1,1
489,1,1
490,1,1
491,1,1
492,1,1
493,1,1
494,1,1
495,1,0.340000003576279
496,1,0
497,0.46000000834465,0.519999980926514
498,0.519999980926514,1
499,1,1
