Step,2024-08-28 22-37-02,2024-08-28 22-04-25
0,4.79184150695801,6.49935245513916
10,3.8891384601593,6.65912961959839
20,1.33322083950043,7.3451361656189
30,-0.804286241531372,5.88310766220093
40,2.00611877441406,-0.695926547050476
50,3.59457898139954,3.67673420906067
60,3.55543255805969,-2.1761212348938
70,1.19910228252411,0.351165264844894
80,-0.564000189304352,-2.43505692481995
90,2.85869479179382,-2.42873907089233
100,5.15739440917969,0.334449917078018
110,6.86468982696533,-3.03004598617554
120,6.82437086105347,-1.52040410041809
130,0.103093892335892,-0.309369802474976
140,2.96137857437134,-3.17043781280518
150,-0.901422023773193,-0.332747310400009
160,0.237418755888939,-1.49874627590179
170,-3.1327691078186,-3.03173279762268
180,-0.917190730571747,0.326510637998581
190,-0.853421092033386,-2.408940076828
200,-3.15376043319702,-2.45545887947083
210,0.0723767057061195,0.344217240810394
220,-2.01486706733704,-3.02840995788574
230,-2.76992177963257,-1.54925525188446
240,0.415476679801941,-0.279554545879364
250,-2.73964524269104,-3.17100048065186
260,-2.09729695320129,-0.36369326710701
270,0.117055743932724,-1.47117555141449
280,-3.12501311302185,-3.03438568115234
290,-0.937629461288452,0.31561741232872
300,-0.83449000120163,-2.38339138031006
310,-3.1535918712616,-2.48254919052124
320,0.0650356337428093,0.353376775979996
330,-2.00092220306397,-3.01657366752625
340,-2.77087640762329,-1.578537940979
350,0.415297597646713,-0.250264227390289
360,-2.73791551589966,-3.1721522808075
370,-2.10933971405029,-0.39519739151001
380,0.123062968254089,-1.44402551651001
390,-3.12283706665039,-3.03789114952087
400,-0.952138721942902,0.304097414016724
410,-0.817411303520203,-2.35868811607361
420,-3.16113829612732,-2.51034188270569
430,0.0575496815145016,0.361909508705139
440,-1.98820841312408,-2.99397087097168
450,-2.7715630531311,-1.60850179195404
460,0.415062129497528,-0.22173036634922
470,-2.73277163505554,-3.17403340339661
480,-2.11588215827942,-0.427465558052063
490,0.127081841230392,-1.41770756244659
