Wall time,Step,Value
1725205248.4903848,172,1.2000000476837158
1725205248.7358084,244,0.5999999046325684
1725205248.7896187,259,0.20000004768371582
1725205249.514231,465,-0.20000004768371582
1725205249.673964,510,-1.0
1725205249.829278,556,-2.0
1725205250.1810937,658,-1.600000023841858
1725205250.6796753,804,-1.600000023841858
1725205251.4273376,1026,-0.7999999523162842
1725205251.4641466,1037,-1.600000023841858
1725205251.7794743,1132,-1.7999999523162842
1725205251.9524038,1184,-2.0
1725205252.3125136,1271,-1.600000023841858
1725205252.8167956,1417,-2.0
1725205252.95415,1458,-1.600000023841858
1725205253.0804758,1494,-1.7999999523162842
1725205253.1369936,1510,-0.7999999523162842
1725205253.265102,1548,-2.0
1725205253.3217626,1565,-2.0
1725205254.5960965,1940,-2.0
1725205254.6628594,1960,-2.0
1725205256.2793305,2436,-1.7999999523162842
1725205256.3672328,2462,-2.0
1725205256.5056484,2503,-1.2000000476837158
1725205256.751887,2577,-2.0
1725205257.1217308,2684,-1.7999999523162842
1725205257.1527622,2693,-2.0
1725205257.2053375,2708,-2.0
1725205257.2362416,2717,-1.7999999523162842
1725205257.4115796,2768,-2.0
1725205258.5564706,3083,-2.0
1725205258.6321003,3105,-1.7999999523162842
1725205258.7631402,3145,-2.0
1725205259.084477,3241,-2.0
1725205259.1660838,3265,-2.0
1725205259.4839177,3356,-1.7999999523162842
1725205260.1769702,3566,-2.0
1725205260.287086,3600,-2.0
1725205260.3390725,3616,-2.0
1725205260.4631526,3654,-2.0
1725205260.5090055,3668,-1.7999999523162842
1725205260.518751,3671,-2.0
1725205261.0982213,3848,-2.0
1725205261.3160949,3915,-2.0
1725205261.6659415,4023,-1.7999999523162842
1725205261.9618952,4109,-2.0
1725205262.0026224,4121,-1.7999999523162842
1725205262.199869,4181,-1.7999999523162842
1725205262.2356665,4192,-2.0
1725205262.3508627,4227,-2.0
1725205262.6848729,4328,-2.0
1725205263.472694,4564,-2.0
1725205264.392989,4832,-2.0
1725205265.2785277,5090,-1.7999999523162842
1725205265.434914,5136,-2.0
1725205265.6046035,5187,-2.0
1725205265.648547,5200,-1.7999999523162842
1725205265.862955,5262,-2.0
1725205265.9756136,5295,-1.7999999523162842
1725205266.2792962,5362,-2.0
1725205266.5886042,5454,-1.7999999523162842
1725205267.3070352,5667,-2.0
1725205267.8652866,5832,-2.0
1725205267.9938347,5866,-2.0
1725205268.0366733,5879,-2.0
1725205268.37637,5981,-2.0
1725205268.4305232,5997,-2.0
1725205268.6165502,6053,-2.0
1725205268.9014287,6138,-2.0
1725205269.1932957,6225,-2.0
1725205269.378453,6279,-2.0
1725205269.5666547,6334,-2.0
1725205269.6932435,6369,-2.0
1725205270.4125068,6569,-2.0
1725205270.9601352,6730,-2.0
1725205271.0257769,6750,-1.7999999523162842
1725205271.3690908,6850,-2.0
1725205271.6013758,6919,-2.0
1725205271.8429685,6991,-2.0
1725205272.0537136,7054,-2.0
1725205272.7230299,7253,-1.7999999523162842
1725205273.334381,7436,-2.0
1725205273.429109,7464,-2.0
1725205273.6910486,7543,-1.0
1725205274.0688796,7644,-2.0
1725205274.3693423,7730,-2.0
1725205274.4581687,7756,-2.0
1725205274.5832736,7794,-2.0
1725205275.2419214,7986,-2.0
1725205275.7949069,8122,-2.0
1725205276.3780324,8291,-2.0
1725205277.2386806,8548,-2.0
1725205277.2584898,8554,-2.0
1725205277.4757197,8618,-2.0
1725205277.618034,8659,-2.0
1725205277.7376883,8694,-2.0
1725205277.8396018,8724,-2.0
1725205277.9601908,8752,-2.0
1725205278.0424533,8776,-2.0
1725205278.0493147,8778,-2.0
1725205278.199251,8823,-2.0
1725205278.231713,8833,-1.7999999523162842
1725205278.3817904,8877,-2.0
1725205278.9859815,9058,-2.0
1725205279.2942953,9152,-2.0
1725205279.6331809,9252,-2.0
1725205279.76567,9291,-2.0
1725205279.9106832,9327,-2.0
1725205280.018755,9359,-2.0
1725205280.6470904,9547,-1.399999976158142
1725205281.1908214,9712,-2.0
1725205281.3269486,9753,-2.0
