Step,2024-08-28 22-37-02,2024-08-29 13-19-09
0,4.79184150695801,8.102294921875
10,3.8891384601593,8.03552341461182
20,1.33322083950043,7.69219779968262
30,-0.804286241531372,6.57102680206299
40,2.00611877441406,3.46708297729492
50,3.59457898139954,-0.519812047481537
60,3.55543255805969,3.90337491035461
70,1.19910228252411,6.73596096038818
80,-0.564000189304352,7.74425554275513
90,2.85869479179382,8.04975509643555
100,5.15739440917969,8.110182762146
110,6.86468982696533,8.02425765991211
120,6.82437086105347,7.65201473236084
130,0.103093892335892,6.44735145568848
140,2.96137857437134,3.16090655326843
150,-0.901422023773193,-0.437449604272842
160,0.237418755888939,4.17210149765015
170,-3.1327691078186,6.84027290344238
180,-0.917190730571747,7.77753639221191
190,-0.853421092033386,8.05870914459229
200,-3.15376043319702,8.10925960540772
210,0.0723767057061195,8.0119218826294
220,-2.01486706733704,7.60863161087036
230,-2.76992177963257,6.31510734558106
240,0.415476679801941,2.8400661945343
250,-2.73964524269104,-0.319318234920502
260,-2.09729695320129,4.42720603942871
270,0.117055743932724,6.93758535385132
280,-3.12501311302185,7.80831527709961
290,-0.937629461288452,8.06680393218994
300,-0.83449000120163,8.10778999328613
310,-3.1535918712616,7.99844264984131
320,0.0650356337428093,7.56181526184082
330,-2.00092220306397,6.17383098602295
340,-2.77087640762329,2.50444006919861
350,0.415297597646713,-0.162695616483688
360,-2.73791551589966,4.66901683807373
370,-2.10933971405029,7.02830076217651
380,0.123062968254089,7.83676481246948
390,-3.12283706665039,8.07409000396729
400,-0.952138721942902,8.10576343536377
410,-0.817411303520203,7.98373889923096
420,-3.16113829612732,7.51131916046143
430,0.0575496815145016,6.02305221557617
440,-1.98820841312408,2.15396618843079
450,-2.7715630531311,0.0754456222057343
460,0.415062129497528,4.89789581298828
470,-2.73277163505554,7.11280679702759
480,-2.11588215827942,7.86304616928101
490,0.127081841230392,8.08061122894287
