Wall time,Step,Value
1725207201.736724,172,2.0
1725207202.0018477,244,2.0
1725207202.0552385,259,2.0
1725207202.764795,465,1.5999999046325684
1725207202.92189,510,0.7999999523162842
1725207203.0791821,556,1.7999999523162842
1725207203.4351013,658,2.0
1725207203.9317615,804,1.4000000953674316
1725207204.778257,1026,2.0
1725207204.819078,1037,1.5999999046325684
1725207205.1691937,1132,2.0
1725207205.3689344,1184,2.0
1725207205.7514114,1271,1.7999999523162842
1725207206.294445,1417,2.0
1725207206.437329,1458,1.2000000476837158
1725207206.5616724,1494,1.0
1725207206.6185503,1510,0.7999999523162842
1725207206.748766,1548,-0.3999999761581421
1725207206.8080528,1565,-0.6000000238418579
1725207208.1305497,1940,1.7999999523162842
1725207208.1964276,1960,1.4000000953674316
1725207209.7848146,2436,0.5999999046325684
1725207209.8774626,2462,2.0
1725207210.016351,2503,0.5999999046325684
1725207210.2550573,2577,2.0
1725207210.6264699,2684,1.7999999523162842
1725207210.6577172,2693,1.4000000953674316
1725207210.7100878,2708,2.0
1725207210.7426198,2717,1.5999999046325684
1725207210.9271793,2768,0.7999999523162842
1725207212.1318276,3083,-1.399999976158142
1725207212.207568,3105,-1.600000023841858
1725207212.3448873,3145,-1.600000023841858
1725207212.682195,3241,-2.0
1725207212.7673256,3265,-1.2000000476837158
1725207213.082258,3356,-0.6000000238418579
1725207213.7921593,3566,-1.600000023841858
1725207213.9260347,3600,-1.600000023841858
1725207213.9794524,3616,-1.399999976158142
1725207214.1054204,3654,-1.2000000476837158
1725207214.1519034,3668,-0.3999999761581421
1725207214.1617608,3671,-0.6000000238418579
1725207214.7618995,3848,-1.399999976158142
1725207214.9844537,3915,-1.0
1725207215.3535411,4023,0.20000004768371582
1725207215.6394196,4109,-1.399999976158142
1725207215.678713,4121,-1.600000023841858
1725207215.8912594,4181,-0.7999999523162842
1725207215.9282417,4192,-1.2000000476837158
1725207216.0401876,4227,-0.3999999761581421
1725207216.360307,4328,-1.0
1725207217.1556327,4564,1.7999999523162842
1725207218.1068447,4832,2.0
1725207219.0209298,5090,1.0
1725207219.1855688,5136,2.0
1725207219.363802,5187,2.0
1725207219.410218,5200,1.4000000953674316
1725207219.6280828,5262,2.0
1725207219.7389934,5295,2.0
1725207220.057083,5362,2.0
1725207220.3638217,5454,2.0
1725207221.0788965,5667,1.0
1725207221.6357877,5832,1.7999999523162842
1725207221.7531164,5866,1.2000000476837158
1725207221.795451,5879,1.5999999046325684
1725207222.166311,5981,2.0
1725207222.2220278,5997,2.0
1725207222.4155953,6053,1.4000000953674316
1725207222.7119615,6138,1.7999999523162842
1725207223.0081513,6225,1.7999999523162842
1725207223.2027652,6279,1.4000000953674316
1725207223.3834124,6334,0.7999999523162842
1725207223.4967508,6369,1.5999999046325684
1725207224.1676254,6569,1.7999999523162842
1725207224.711971,6730,1.7999999523162842
1725207224.7801447,6750,1.4000000953674316
1725207225.1172986,6850,2.0
1725207225.3486357,6919,2.0
1725207225.5887027,6991,2.0
1725207225.8010225,7054,-0.20000004768371582
1725207226.5174665,7253,1.4000000953674316
1725207227.1565242,7436,1.4000000953674316
1725207227.2551992,7464,1.7999999523162842
1725207227.5263007,7543,-1.600000023841858
1725207227.8720958,7644,-1.399999976158142
1725207228.1630118,7730,-1.600000023841858
1725207228.2529242,7756,-1.600000023841858
1725207228.3806717,7794,-1.2000000476837158
1725207229.0211136,7986,-1.600000023841858
1725207229.5769444,8122,2.0
1725207230.1839416,8291,1.2000000476837158
1725207231.0703807,8548,-1.7999999523162842
1725207231.0909972,8554,-1.399999976158142
1725207231.30538,8618,-1.2000000476837158
1725207231.4455373,8659,-1.600000023841858
1725207231.5642922,8694,-1.7999999523162842
1725207231.6629496,8724,-1.399999976158142
1725207231.7566698,8752,-1.600000023841858
1725207231.8391461,8776,-1.2000000476837158
1725207231.84612,8778,-1.399999976158142
1725207232.0271013,8823,-1.2000000476837158
1725207232.0609229,8833,-1.399999976158142
1725207232.2116745,8877,-1.600000023841858
1725207232.8130991,9058,0.40000009536743164
1725207233.1403034,9152,-1.0
1725207233.4780133,9252,-1.2000000476837158
1725207233.6124125,9291,-1.7999999523162842
1725207233.7411041,9327,-1.399999976158142
1725207233.8491642,9359,-1.2000000476837158
1725207234.5114863,9547,-1.600000023841858
1725207235.0829477,9712,-1.600000023841858
1725207235.2227626,9753,-1.600000023841858
1725207235.2260442,9754,-1.399999976158142
1725207235.509623,9837,-1.600000023841858
1725207235.6098542,9867,-1.2000000476837158
1725207235.7018287,9894,-1.600000023841858
1725207235.776643,9917,-1.399999976158142
1725207235.8848937,9949,-1.600000023841858
1725207235.9678988,9973,-1.399999976158142
1725207235.9881194,9979,-1.399999976158142
1725207236.2729037,10063,1.7999999523162842
1725207236.360256,10090,1.7999999523162842
1725207236.4613287,10121,1.7999999523162842
1725207236.721991,10191,1.7999999523162842
1725207237.256699,10342,1.4000000953674316
1725207237.4353065,10395,1.5999999046325684
1725207237.6042209,10445,1.5999999046325684
1725207237.6501737,10458,1.7999999523162842
1725207237.8047342,10501,0.20000004768371582
1725207237.8614154,10518,0.20000004768371582
1725207238.025123,10561,0.7999999523162842
1725207238.2915602,10643,-0.6000000238418579
1725207238.2982628,10645,-0.7999999523162842
1725207238.5115373,10707,1.7999999523162842
1725207238.5697787,10724,1.7999999523162842
1725207239.5827215,11023,-0.6000000238418579
1725207239.9028397,11118,1.5999999046325684
1725207240.2353022,11218,1.7999999523162842
1725207240.6349058,11331,1.5999999046325684
1725207240.855742,11394,1.4000000953674316
1725207242.3880942,11819,1.7999999523162842
1725207242.551432,11867,1.0
1725207243.0836535,12027,-1.600000023841858
1725207243.2446978,12076,-1.7999999523162842
1725207244.0637608,12316,-1.399999976158142
1725207244.184689,12354,-1.600000023841858
1725207244.3246503,12398,-1.7999999523162842
1725207244.3309495,12400,-1.2000000476837158
1725207244.5729175,12476,-1.600000023841858
1725207245.331451,12708,-0.20000004768371582
1725207245.983678,12901,1.4000000953674316
1725207246.0188112,12905,1.7999999523162842
1725207246.15372,12944,1.2000000476837158
1725207247.3745372,13304,-1.7999999523162842
1725207247.6658392,13388,-1.399999976158142
1725207247.768363,13418,-1.399999976158142
1725207248.146488,13522,-1.600000023841858
1725207248.2439842,13550,-1.600000023841858
1725207248.5017016,13623,-1.399999976158142
1725207248.5688787,13642,-1.7999999523162842
1725207248.5863907,13647,-1.7999999523162842
1725207249.142844,13802,-1.7999999523162842
1725207249.3061206,13849,-1.600000023841858
1725207249.728633,13971,-1.600000023841858
1725207249.7582495,13980,-1.399999976158142
1725207249.9704838,14046,-1.7999999523162842
1725207250.4603548,14188,-1.7999999523162842
1725207250.5230343,14206,-1.7999999523162842
1725207250.7248003,14265,-1.399999976158142
1725207251.0265267,14354,-1.600000023841858
1725207251.0505164,14361,-1.399999976158142
1725207251.9487386,14623,-1.399999976158142
1725207252.0200438,14645,-2.0
1725207252.365498,14745,-1.7999999523162842
1725207252.7153792,14851,-2.0
1725207252.7591815,14864,-0.7999999523162842
1725207253.2824185,15019,-1.2000000476837158
1725207253.4413137,15065,-1.399999976158142
1725207253.4585652,15070,-1.600000023841858
1725207253.6441317,15124,-2.0
1725207253.8390024,15185,-1.600000023841858
1725207254.4894886,15371,-1.7999999523162842
1725207255.3191755,15610,-1.0
1725207255.416716,15638,-1.399999976158142
1725207257.5759234,16241,1.5999999046325684
1725207258.1321805,16392,1.2000000476837158
1725207259.689525,16834,1.5999999046325684
1725207259.800202,16866,1.4000000953674316
1725207259.8483608,16880,1.4000000953674316
1725207259.858455,16883,1.2000000476837158
1725207259.979671,16907,1.7999999523162842
1725207260.115325,16947,1.5999999046325684
1725207260.724662,17120,1.7999999523162842
1725207260.7492003,17127,1.7999999523162842
1725207261.2205665,17263,1.7999999523162842
1725207261.686997,17394,1.5999999046325684
